Tabela_ID;Titulo_Tabela;Categoria;Brasil;Norte;Nordeste;Sudeste;Sul;Centro-Oeste
1.3.1.2;"Tabela 1.3.1.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";45 a 49 anos;1.1;2.6;2.3;1.8;2.7;2.8
1.3.1.2;"Tabela 1.3.1.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";50 a 54 anos;1.2;3;2.2;1.9;2.6;3.2
1.3.1.2;"Tabela 1.3.1.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";55 a 59 anos;1.3;3.6;2.7;2.1;3.1;3.7
1.3.1.2;"Tabela 1.3.1.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";60 anos ou mais;1.1;2.9;2;1.8;2.3;2.8
1.3.1.2;"Tabela 1.3.1.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";Mulheres;0;0;0;0;0;0
1.3.1.2;"Tabela 1.3.1.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";10 a 14 anos;1.3;3;2.4;2.2;3;3.3
1.3.1.2;"Tabela 1.3.1.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";15 a 17 anos;1.3;3.2;2.2;2.2;3;3.5
1.3.1.2;"Tabela 1.3.1.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";18 ou 19 anos;1.5;3.8;2.6;2.6;3.7;4.6
1.3.1.2;"Tabela 1.3.1.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";20 a 24 anos;1;2.3;1.8;1.7;2.6;2.8
1.3.1.2;"Tabela 1.3.1.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";25 a 29 anos;1;2.4;1.7;1.7;2.3;2.7
1.3.1.2;"Tabela 1.3.1.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";30 a 34 anos;1;2.5;1.8;1.6;2.4;2.8
1.3.1.2;"Tabela 1.3.1.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";35 a 39 anos;1;2;1.7;1.7;2.4;2.4
1.3.1.2;"Tabela 1.3.1.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";40 a 44 anos;1;2.4;1.7;1.6;2.4;2.5
1.3.1.2;"Tabela 1.3.1.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";45 a 49 anos;1;3;1.9;1.7;2.5;2.5
1.3.1.2;"Tabela 1.3.1.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";50 a 54 anos;1.1;2.9;2.2;1.8;2.4;3.2
1.3.1.2;"Tabela 1.3.1.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";55 a 59 anos;1.2;3.7;2.5;2;2.7;3.3
1.3.1.2;"Tabela 1.3.1.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";60 anos ou mais;1;2.7;1.9;1.7;2;2.7
;;;;;;;;
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";Total;0;0;0;0;0;0
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";10 a 14 anos;1.1;2;1.5;2.3;3.7;3.5
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";15 a 17 anos;2;4;3;4.3;7;6.8
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";18 ou 19 anos;2.8;5.4;4.2;6.2;9.7;12.5
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";20 a 24 anos;2.1;3.5;3.2;5;8.1;8.8
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";25 a 29 anos;2.2;4;3.3;5;8.8;7.6
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";30 a 34 anos;2.1;4.7;3;5;6.8;7.3
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";35 a 39 anos;1.9;3.6;2.8;4.3;6.4;8.2
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";40 a 44 anos;1.8;4.1;2.5;3.9;5.4;7.4
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";45 a 49 anos;1.7;4;2.7;3.3;5.4;6.2
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";50 a 54 anos;1.7;4.4;2.6;3.2;4.4;6.8
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";55 a 59 anos;1.8;4.9;2.9;3.1;4.8;6.8
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";60 anos ou mais;0.9;2.9;1.5;1.4;2.3;2.8
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";Homens;0;0;0;0;0;0
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";10 a 14 anos;1.3;2.4;1.9;2.8;4.3;4.1
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";15 a 17 anos;2.6;5.4;3.9;5.5;7.9;9
